feature,target,spearman,n
gr_std,lin_rmse,0.054494375576632476,811
gr_std,formula_rmse,0.10080047442187147,811
gr_nan_frac,last_rmse,-0.00703719449275542,811
gr_nan_frac,lin_rmse,-0.0353994150761284,811
gr_nan_frac,formula_rmse,0.05920754084256741,811
tvt_range,last_rmse,0.05405443103489362,811
tvt_range,lin_rmse,0.04539077625046303,811
tvt_range,formula_rmse,0.02575441708491527,811
z_range,last_rmse,-0.009533657371272002,811
z_range,lin_rmse,0.04861564582916192,811
z_range,formula_rmse,0.0723473480537643,811
